gutenberg_id,title,author,gutenberg_author_id,language,gutenberg_bookshelf,rights,has_text
13771,"Aventures de Monsieur Pickwick, Vol. I","Dickens, Charles",37,fr,FR Littérature,Public domain in the USA.,TRUE
14789,"Aventures de Monsieur Pickwick, Vol. II","Dickens, Charles",37,fr,FR Littérature,Public domain in the USA.,TRUE
15499,Mugbyn risteys,"Dickens, Charles",37,fi,NA,Public domain in the USA.,TRUE
16020,Le grillon du foyer,"Dickens, Charles",37,fr,FR Littérature/FR Nouvelles,Public domain in the USA.,TRUE
16021,Cantique de Noël,"Dickens, Charles",37,fr,FR Littérature/Children's Literature,Public domain in the USA.,TRUE
16022,Les conteurs à la ronde,"Dickens, Charles",37,fr,FR Nouvelles,Public domain in the USA.,TRUE
16023,Oliver Twist,"Dickens, Charles",37,fr,FR Littérature,Public domain in the USA.,TRUE
17565,Les grandes espérances,"Dickens, Charles",37,fr,Best Books Ever Listings/FR Littérature,Public domain in the USA.,TRUE
17675,"Le magasin d'antiquités, Tome I","Dickens, Charles",37,fr,FR Littérature,Public domain in the USA.,TRUE
17676,"Le magasin d'antiquités, Tome II","Dickens, Charles",37,fr,FR Littérature,Public domain in the USA.,TRUE
17868,David Copperfield - Tome I,"Dickens, Charles",37,fr,Harvard Classics/FR Littérature,Public domain in the USA.,TRUE
17869,David Copperfield - Tome II,"Dickens, Charles",37,fr,Harvard Classics/FR Littérature,Public domain in the USA.,TRUE
17879,"Barnabé Rudge, Tome I","Dickens, Charles",37,fr,Historical Fiction/FR Littérature,Public domain in the USA.,TRUE
17880,"Barnabé Rudge, Tome II","Dickens, Charles",37,fr,Historical Fiction/FR Littérature,Public domain in the USA.,TRUE
18186,"David Copperfield I
David Copperfield nuoremman elämäkertomus ja kokemukset","Dickens, Charles",37,fi,Harvard Classics,Public domain in the USA.,TRUE
18201,"David Copperfield II
David Copperfield nuoremman elämäkerta ja kokemukset","Dickens, Charles",37,fi,Harvard Classics,Public domain in the USA.,TRUE
19337,A Christmas Carol,"Dickens, Charles",37,en,Christmas/Children's Literature,Public domain in the USA.,TRUE
19505,A Christmas Carol,"Dickens, Charles",37,en,Children's Literature,Public domain in the USA.,TRUE
20673,A Christmas Carol,"Dickens, Charles",37,en,Children's Literature,Public domain in the USA.,FALSE
20795,The Cricket on the Hearth,"Dickens, Charles",37,en,Children's Literature,Public domain in the USA.,TRUE
22449,No Thoroughfare,"Dickens, Charles",37,en,NA,Public domain in the USA.,FALSE
22465,"Der Weihnachtsabend
Eine Geistergeschichte","Dickens, Charles",37,de,DE Prosa,Public domain in the USA.,TRUE
23344,"The Magic Fishbone
A Holiday Romance from the Pen of Miss Alice Rainbird, Aged 7","Dickens, Charles",37,en,Children's Picture Books,Public domain in the USA.,TRUE
23452,"The Trial of William Tinkling
Written by Himself at the Age of 8 Years","Dickens, Charles",37,en,Children's Picture Books,Public domain in the USA.,TRUE
23765,"Captain Boldheart & the Latin-Grammar Master
A Holiday Romance from the Pen of Lieut-Col. Robin Redforth, aged 9","Dickens, Charles",37,en,Children's Picture Books,Public domain in the USA.,TRUE
24022,A Christmas Carol,"Dickens, Charles",37,en,Christmas/Children's Literature,Public domain in the USA.,TRUE
24026,Joulun-aatto,"Dickens, Charles",37,fi,NA,Public domain in the USA.,TRUE
24501,La Batalo de l' Vivo,"Dickens, Charles",37,eo,Esperanto,Public domain in the USA.,TRUE
25852,"The Letters of Charles Dickens
Vol. 1, 1833-1856","Dickens, Charles",37,en,NA,Public domain in the USA.,TRUE
25853,"The Letters of Charles Dickens
Vol. 2, 1857-1870","Dickens, Charles",37,en,NA,Public domain in the USA.,TRUE
25854,"The Letters of Charles Dickens
Vol. 3, 1836-1870","Dickens, Charles",37,en,NA,Public domain in the USA.,TRUE
27924,Mugby Junction,"Dickens, Charles",37,en,NA,Public domain in the USA.,TRUE
28560,Een Kerstlied in Proza,"Dickens, Charles",37,nl,NA,Public domain in the USA.,TRUE
30368,"A Christmas Carol
The original manuscript","Dickens, Charles",37,en,NA,Public domain in the USA.,TRUE
31638,Sanoma merellä,"Dickens, Charles",37,fi,NA,Public domain in the USA.,TRUE
32241,Dickens' Stories About Children Every Child Can Read,"Dickens, Charles",37,en,NA,Public domain in the USA.,TRUE
35536,The Poems and Verses of Charles Dickens,"Dickens, Charles",37,en,NA,Public domain in the USA.,TRUE
37093,De avonturen van Oliver Twist,"Dickens, Charles",37,nl,NA,Public domain in the USA.,TRUE
37121,Charles Dickens' Children Stories,"Dickens, Charles",37,en,NA,Public domain in the USA.,TRUE
37581,The Cricket on the Hearth: A Fairy Tale of Home,"Dickens, Charles",37,en,NA,Public domain in the USA.,TRUE
40723,The Battle of Life. A Love Story,"Dickens, Charles",37,en,NA,Public domain in the USA.,TRUE
42232,A Child's Dream of a Star,"Dickens, Charles",37,en,NA,Public domain in the USA.,TRUE
43111,The Personal History of David Copperfield,"Dickens, Charles",37,en,NA,Public domain in the USA.,TRUE
43207,"Scenes and Characters from the Works of Charles Dickens
Being Eight Hundred and Sixty-six Pictures Printed From
the Original Wood Blocks","Dickens, Charles",37,en,NA,Public domain in the USA.,TRUE
44899,Kotisirkka,"Dickens, Charles",37,fi,NA,Public domain in the USA.,TRUE
46675,"Oliver Twist, Illustrated
or, The Parish Boy's Progress","Dickens, Charles",37,en,NA,Public domain in the USA.,TRUE
47529,"Oliver Twist, Vol. 1 (of 3)","Dickens, Charles",37,en,NA,Public domain in the USA.,TRUE
47530,"Oliver Twist, Vol. 2 (of 3)","Dickens, Charles",37,en,NA,Public domain in the USA.,TRUE
47531,"Oliver Twist, Vol. 3 (of 3)","Dickens, Charles",37,en,NA,Public domain in the USA.,TRUE
47534,"The Posthumous Papers of the Pickwick Club, v. 1(of 2)","Dickens, Charles",37,en,NA,Public domain in the USA.,TRUE
47535,"The Posthumous Papers of the Pickwick Club, v. 2(of 2)","Dickens, Charles",37,en,NA,Public domain in the USA.,TRUE
47716,Schetsen uit Amerika en Tafereelen uit Italië,"Dickens, Charles",37,nl,NA,Public domain in the USA.,TRUE
48023,Kaksi kaupunkia,"Dickens, Charles",37,fi,NA,Public domain in the USA.,TRUE
49927,Pearl-Fishing; Choice Stories from Dickens' Household Words; First Series,"Dickens, Charles",37,en,NA,Public domain in the USA.,TRUE
50164,Elämän taistelu,"Dickens, Charles",37,fi,NA,Public domain in the USA.,TRUE
50334,Pearl-Fishing; Choice Stories from Dickens' Household Words; Second Series,"Dickens, Charles",37,en,NA,Public domain in the USA.,TRUE
50771,Slechte Tijden,"Dickens, Charles",37,nl,NA,Public domain in the USA.,TRUE
